Date,Room_Counts,Guest_Count,No_DVC_Room_Count,No_DVC_Guest_Count
2014-09-30,23029,66474,19196,53910
2014-10-01,23679,69191,19709,55871
2014-10-02,25563,75734,21308,61015
2014-10-03,26852,82379,22355,66191
2014-10-04,27897,83630,23309,66956
2014-10-05,27902,80393,23363,63890
2014-10-06,27672,78959,23203,62931
2014-10-07,27294,77697,22924,62055
2014-10-08,27467,79629,22985,63433
2014-10-09,27189,84119,22656,67433
2014-10-10,27833,87752,23261,70838
2014-10-11,28041,88649,23441,71616
2014-10-12,27487,86881,22932,70035
2014-10-13,26673,82330,22216,66142
2014-10-14,26013,78097,21722,62755
2014-10-15,26867,80697,22470,64916
2014-10-16,27696,84290,23148,67759
2014-10-17,27749,86409,23149,69528
2014-10-18,27782,85588,23195,68947
2014-10-19,27307,82844,22817,66804
2014-10-20,25642,75080,21231,59713
2014-10-21,25886,74546,21466,59303
2014-10-22,26623,77583,22160,61992
2014-10-23,27716,82527,23167,66381
2014-10-24,27791,84984,23194,68512
2014-10-25,27770,84079,23223,67880
2014-10-26,26859,78281,22395,62670
2014-10-27,26183,75387,21770,60127
2014-10-28,25969,74910,21584,59831
2014-10-29,26415,79251,22009,63918
2014-10-30,27290,83949,22831,68007
2014-10-31,27555,86186,23033,69679
2014-11-01,27876,88133,23289,71160
2014-11-02,26526,82540,22059,66142
2014-11-03,25949,79840,21537,63836
2014-11-04,25099,75723,20797,60291
2014-11-05,25833,77597,21485,61777
2014-11-06,27172,81643,22678,65128
2014-11-07,27828,83995,23255,67151
2014-11-08,27879,83655,23290,66900
2014-11-09,27750,84676,23184,68030
2014-11-10,27596,84076,23114,67824
2014-11-11,26393,78667,22080,63186
2014-11-12,27110,80101,22740,64423
2014-11-13,27640,83082,23155,66900
2014-11-14,27902,86757,23304,70113
2014-11-15,27932,87419,23345,70884
2014-11-16,26824,82168,22365,66485
2014-11-17,26253,78883,21914,63965
2014-11-18,25337,75310,21116,60915
2014-11-19,25377,75907,21161,61398
2014-11-20,27224,84703,22802,69110
2014-11-21,27817,92152,23289,75428
2014-11-22,27971,95314,23357,77518
2014-11-23,25706,88218,21183,70255
2014-11-24,24853,86411,20413,68540
2014-11-25,24584,85497,20120,67453
2014-11-26,24723,85438,20186,67151
2014-11-27,25084,85839,20513,67490
2014-11-28,24680,82757,20177,64909
2014-11-29,23652,77131,19225,60186
2014-11-30,21201,66833,17000,51412
2014-12-01,21938,66572,17744,51506
2014-12-02,22575,67283,18381,52383
2014-12-03,24122,71928,19878,56858
2014-12-04,26187,79013,21817,63402
2014-12-05,27056,83002,22551,66852
2014-12-06,27194,83661,22682,67537
2014-12-07,26364,78994,22008,63709
2014-12-08,25776,75996,21487,61232
2014-12-09,25298,74137,21043,59606
2014-12-10,24788,72786,20559,58316
2014-12-11,24662,73160,20388,58327
2014-12-12,25880,79764,21521,64142
2014-12-13,25335,79515,20997,63884
2014-12-14,23472,72930,19356,58461
2014-12-15,23141,71300,19194,57681
2014-12-16,22751,70765,18953,57645
2014-12-17,22933,73230,19127,59823
2014-12-18,23564,77166,19619,62812
2014-12-19,24730,83293,20440,66872
2014-12-20,25194,86318,20775,68982
2014-12-21,24704,85830,20225,68137
2014-12-22,24818,86599,20340,68889
2014-12-23,24009,83402,19573,65931
2014-12-24,24338,83981,19965,66782
2014-12-25,25622,88326,21130,70606
2014-12-26,26987,92656,22515,74797
2014-12-27,27703,95025,23187,76885
2014-12-28,27928,95733,23351,77132
2014-12-29,28009,95777,23435,77131
2014-12-30,27996,95329,23440,76774
2014-12-31,28135,95633,23522,76822
2015-01-01,25899,87999,21336,69421
2015-01-02,22432,75764,17897,57764
2015-01-03,19997,66315,15550,49280
2015-01-04,19742,63342,15550,47756
2015-01-05,21501,66528,17525,51862
2015-01-06,22993,68318,18996,53869
2015-01-07,25639,74513,21295,58886
2015-01-08,26624,77557,22182,61565
2015-01-09,27756,80002,23254,63878
2015-01-10,27719,80078,23244,64109
2015-01-11,25674,73644,21299,58212
2015-01-12,22129,63225,18259,50021
2015-01-13,21477,60245,17819,47914
2015-01-14,22033,63086,18263,50185
2015-01-15,24637,73994,20535,59611
2015-01-16,27167,84642,22692,68593
2015-01-17,27818,88191,23277,71589
2015-01-18,27635,85075,23117,68561
2015-01-19,24478,72349,20396,58000
2015-01-20,23281,66603,19416,53388
2015-01-21,22374,66183,18411,52752
2015-01-22,24223,72610,20058,58371
2015-01-23,25699,79222,21299,63925
2015-01-24,26892,82117,22418,66585
2015-01-25,25032,73959,20761,59496
2015-01-26,24823,70985,20665,57123
2015-01-27,24336,68970,20251,55391
2015-01-28,23169,67493,19128,54069
2015-01-29,25597,76559,21421,62588
2015-01-30,27112,82946,22763,68027
2015-01-31,27257,84023,22958,69256
2015-02-01,25426,77098,21485,64012
2015-02-02,23025,68683,19245,56259
2015-02-03,22442,64731,18680,52533
2015-02-04,24653,70859,20696,57876
2015-02-05,27222,81198,23007,67205
2015-02-06,27764,85593,23276,70315
2015-02-07,27694,85902,23222,70641
2015-02-08,26660,80040,22674,66797
2015-02-09,23699,68511,20041,56564
2015-02-10,22676,64567,19103,52874
2015-02-11,23681,69689,19982,57186
2015-02-12,25169,76415,21207,62420
2015-02-13,26964,85975,22612,69920
2015-02-14,28067,91067,23522,73667
2015-02-15,27908,90294,23415,72781
2015-02-16,27324,87057,22910,69989
2015-02-17,25425,82728,21096,66084
2015-02-18,26726,83966,22332,67216
2015-02-19,27916,86256,23426,69201
2015-02-20,27852,85570,23344,68634
2015-02-21,27717,83565,23227,67209
2015-02-22,27153,79696,22784,64369
2015-02-23,25492,73843,21496,60244
2015-02-24,24648,70717,20822,57893
2015-02-25,25540,73584,21587,60338
2015-02-26,26312,78370,22148,64207
2015-02-27,27074,82852,22827,68142
2015-02-28,27026,82822,22859,68503
2015-03-01,25070,75594,21187,62625
2015-03-02,23964,71032,20199,58603
2015-03-03,23717,69219,20021,57161
2015-03-04,24462,71647,20636,59167
2015-03-05,25187,74305,21269,61450
2015-03-06,24566,74758,20616,61404
2015-03-07,25812,80263,21586,65483
2015-03-08,24616,76982,20441,62256
2015-03-09,25773,79681,21523,64648
2015-03-10,25534,78791,21286,63744
2015-03-11,25797,80310,21502,65023
