swid,ref_idvl_id,exprnc_id,travelPlanId,reservationId,FAC_ID,entrprs_fac_id,res_fac_nm,trvl_sts_nm,TPS_ARVL_DT,TPS_DPRT_DT,new_tkt_vld_strt_dt,new_tkt_exp_d,old_tkt_vld_strt_dt,old_tkt_exp_dt
{93DD079F-65C5-4A8E-9D07-9F65C5CA8E40},360285535,CAFEF00D650200000000000201866201,491114970475,491111216633,80010383,80010383,Disney's Saratoga Springs Resort & Spa,past visit,6/15/2019,6/20/2019,6/16/2019,6/20/2019,6/21/2019,5/16/2019
{B9BE6A57-07F5-4F08-810A-3DD5CA419FE2},2028615862,CAFEF00D650200000000000221795715,482202398004,482201332309,80010390,80010390,Disney's Yacht Club Resort,past visit,9/10/2018,9/11/2018,4/1/2019,4/1/2019,11/8/2017,4/1/2019
{B927DCE3-9552-49ED-A015-DB974E90FEC2},120994230,CAFEF00D650200000000000022823033,491032400137,491031656507,80010408,80010408,The Cabins at Disney's Fort Wilderness Resort,past visit,5/8/2019,5/11/2019,5/10/2019,5/10/2019,5/3/2019,4/13/2019
{C12A1F71-E539-41E7-AB60-21D4BC67AC8F},134945764,CAFEF00D650200000000000246914486,481270904441,481271620253,80010403,80010403,Disney's Pop Century Resort,past visit,3/3/2019,3/8/2019,3/3/2019,3/3/2019,3/4/2019,1/1/2019
{147E200E-F939-4B60-BE20-0EF9395B607E},133722559,CAFEF00D650200000000000223958665,481063176801,481061994044,80010404,80010404,Disney's Art of Animation Resort,past visit,11/4/2018,11/8/2018,11/5/2018,11/9/2018,11/4/2018,11/5/2018
{BDFA592E-71EF-45CF-9541-2B2E302205C5},3111748080,CAFEF00D650200000000000240060832,490209725133,490201950713,144943,144943,Fort Wilderness Creekside Meadow,past visit,2/14/2019,2/18/2019,2/14/2019,2/18/2019,2/16/2019,1/11/2019
{A45AD4EF-534E-4522-B6AC-2A639EBE10C0},339678518,CAFEF00D650200000000000014821029,490126271306,490121299771,273239,273239,Disney's Animal Kingdom Villas - Kidani Village,past visit,3/2/2019,3/3/2019,3/3/2019,3/3/2019,2/3/2019,1/13/2019
{3F7CAA90-BA12-4D43-9F3C-064922216B5D},101242512,CAFEF00D650200000000000022635206,490366398631,490361260660,80010401,80010401,Disney's All-Star Sports Resort,past visit,2/13/2019,2/20/2019,5/1/2019,5/4/2019,2/13/2019,4/9/2019
{EA1D0D45-345E-49E3-9EAB-D695F13B093F},446063556,CAFEF00D650200000000000028997383,490095129051,490091087104,80010397,80010397,Disney's Port Orleans Resort - Riverside,past visit,1/18/2019,1/19/2019,1/18/2019,1/18/2019,1/17/2019,1/9/2019
{190414AB-58C9-4418-BE71-8143037B4389},3471679153,CAFEF00D650200000000000198509902,483536405931,483531415732,80010401,80010401,Disney's All-Star Sports Resort,past visit,6/16/2019,6/22/2019,6/20/2019,6/23/2019,6/22/2019,4/19/2019
{C900F0DE-25BE-4BEF-862D-F9265B02C5B5},114340240,CAFEF00D650200000000000350929119,483598035662,483591752703,80010389,80010389,Disney's Beach Club Resort,past visit,6/18/2019,6/23/2019,6/19/2019,6/19/2019,6/18/2019,6/19/2019
{2B81F775-6DA9-42F1-81F7-756DA912F15C},324433442,CAFEF00D650200000000000023759371,490189288431,490181869003,80010396,80010396,Disney's Coronado Springs Resort,past visit,2/27/2019,3/1/2019,2/28/2019,2/27/2019,2/27/2019,2/27/2019
{273AA3E3-AF19-45BD-9D36-615E101152BD},1672105110,CAFEF00D650200000000000080167524,483340729861,483341252809,80010402,80010402,Disney's All-Star Movies Resort,past visit,3/11/2019,3/15/2019,3/12/2019,3/16/2019,9/11/2021,3/12/2019
{1A35C298-74D8-4E52-B5C2-9874D84E52EA},2164748381,CAFEF00D650200000000000028361289,470504259786,470501405801,17797842,17797842,Disney's Polynesian Villas & Bungalows,canelled,12/8/2017,12/15/2017,11/29/2018,12/4/2018,11/8/2017,12/4/2018
