,Delta_Final_First_Entry_Date,Purchased  <=10 Days Prior,Purchased  <=20 Days Prior,Purchased  <=30 Days Prior,Purchased  <=50 Days Prior,Purchased  <=60 Days Prior
6/11/19,24595,8545,6872,5528,3228,2681
6/12/19,21193,6450,5164,4251,2667,2188
6/13/19,18866,6091,4798,4014,2270,1942
6/14/19,22022,6374,5060,3998,2432,1951
6/15/19,27587,7778,6078,4945,3007,2516
6/16/19,25020,8644,7324,6326,4173,3676
6/17/19,30850,11693,9198,7545,4548,3820
6/18/19,24846,8989,7123,5738,3490,2832
6/19/19,21674,7077,5464,4386,2609,2133
6/20/19,24952,6871,5306,4350,2547,2109
6/21/19,23827,6801,5161,4183,2617,2165
6/22/19,29577,8311,6213,5044,3148,2670
6/23/19,28458,9166,7556,6194,4148,3637
6/24/19,21842,12360,9818,7748,4662,3843
